id,request_no,status,applicant_id,applicant_name,extension,unit_id,budget_source,meal_date,meal_type,meal_time,meal_location,meal_reason,notes,next_operator,created_at,processed_flag,audit_log,version_no
1,S260001,approved,1001,林承訓,7039,1,92213000-03-05,2026-03-20,breakfast,08:30:00,C304,電算中心暑期電腦教育訓練課程,請提供環保杯,,2026-03-17 09:16:15.847158,false,,1
3,S260003,draft,1003,陳怡君,4511,5,,2026-03-22,lunch,12:00:00,B101,庶務組例行工作午餐,,,2026-03-17 09:16:15.847158,false,,1
4,,approved,,邱章民,,5,,,,,,,,,2026-03-17 09:32:38.933015,false,,1
6,,rejected,,邱章民,,1,,2026-03-21,,00:15:00,,,,,2026-03-18 03:15:29.898673,false,,1
7,,draft,,邱章民,,1,,2026-03-21,,11:40:00,,,,,2026-03-18 03:17:43.770945,false,,1
8,,completed,,邱章民,,1,,2026-03-18,,08:30:00,,,,,2026-03-18 03:19:49.9483,false,,1
9,,approved,,許時傑,,2,,2026-03-19,,02:35:00,,,,,2026-03-18 03:31:53.231383,false,,1
2,S260002,submitted,1002,王小明,2210,3,93001000-01-02,2026-03-21,lunch,12:00:00,A202,護理學系期末教學研討,,manager01,2026-03-17 09:16:15.847158,false,,1
10,,submitted,10,Julian Yin,,3,,2026-04-23,,18:06:00,,,,manager01,2026-03-18 06:20:10.795055,false,,1
12,,submitted,10,張孝天,,1,,2026-03-30,,19:03:00,正命廳,開會用餐,,manager01,2026-03-18 07:01:34.525101,false,,1
13,,reviewing,11,蔡佩芬,,3,,2026-03-24,,17:02:00,宿舍餐廳,隔夜出差,,restaurant01,2026-03-18 07:03:03.406148,false,,1
5,,rejected,,許時傑,,6,,,,,,,,,2026-03-17 10:04:15.023846,false,,1
11,,approved,23,李大仁,,4,,2026-05-14,,14:28:00,,,,,2026-03-18 06:29:38.744519,false,,1
